word_id,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10
0,0.09280009,0.14346887,-0.3697193,-0.1502429,-0.02343238,-0.31640735,0.21388897,-0.30999205,0.18396293,0.31703553
1,-0.17753008,0.16948989,0.10243738,0.17890468,-0.28010705,0.21865769,-0.064940445,0.09149972,-0.30201063,0.31244382
2,-0.08432081,0.1435731,-0.33039594,0.021398889,0.06831916,-0.1783452,0.04869857,-0.4193814,0.007966018,0.029324599
3,0.45670515,0.501569,-0.24483202,0.025965413,-0.47369212,-0.1389234,-0.047110006,0.11325632,-0.12659794,-0.047471445
4,0.19986138,0.36283237,0.14445378,0.12965098,-0.36397684,0.35296288,0.28373384,-0.17650373,-0.39955994,0.49995893
5,0.4395361,0.28520873,-0.047142576,-0.20888218,-0.49031737,0.053886313,0.18407516,-0.22792181,-0.21044645,0.31247553
6,0.27287853,0.30610737,0.29443437,-0.06442988,-0.12936194,-0.030267153,-0.058315884,-0.18531571,-0.094152115,0.3635049
7,0.2327909,-0.21968147,-0.10117878,-0.13586496,-0.30353647,0.004043918,0.36138812,-0.30563596,-0.04456704,0.19705485
8,-0.27014977,-0.102613896,0.08928992,-0.1970683,-0.034934565,-0.028701516,-0.17002413,0.028392794,0.002013322,0.23577939
9,-0.36963314,-0.07281301,0.14581847,-0.26380458,-0.4357998,0.47284552,-0.16770099,0.123476356,-0.22407427,0.101116605
10,-0.40147787,-0.23130633,0.18832724,0.011223959,-0.38594973,0.48517916,0.28150964,0.41794738,-0.28527945,0.10133825
11,-0.018808648,-0.09008227,-0.059473883,0.11425642,-0.05039634,0.1601906,0.19661242,0.21543418,-0.06559376,0.33537412
12,-0.06640121,-0.23297875,-0.21521106,-0.14468572,-0.0882845,-0.16166863,0.12993647,0.44010875,0.11518373,0.19659844
13,-0.42102128,-0.4326137,-0.34497622,0.20168558,0.043743428,0.2289488,-0.2678279,0.35760075,-0.48612148,-0.0020838145
14,-0.45860225,-0.13197081,0.061262038,0.38006753,-0.09807579,0.22737531,-0.5120096,0.1755138,-0.312668,-0.17075828
15,0.09677813,-0.14542834,-0.46285084,0.17528702,0.17923161,-0.16864482,0.1424261,0.15948732,-0.3848335,0.11811229
16,-0.02469237,-0.34358847,-0.23080434,0.24529533,0.018497176,0.022237806,0.036554404,-0.0079725,-0.40661186,0.24339695
17,-0.36638644,0.1347371,-0.15173392,-0.21627103,0.16561002,-0.32669812,-0.28911075,0.28504705,-0.47194576,-0.23684943
18,-0.22619066,-0.004543352,0.13526796,-0.09938287,-0.065622106,0.05457026,-0.23484015,0.19797522,-0.26033625,-0.37123165
19,-0.0009746755,-0.48713526,0.3898795,0.013775581,-0.02346162,-0.39282882,0.10978978,-0.15063341,0.011712473,-0.040348433
20,-0.27475077,0.16444866,0.06295306,0.055111133,0.008626335,-0.42910537,-0.0016628824,0.23976389,-0.02698137,0.13077515
21,0.17993425,-0.10530335,0.46783715,-0.15680027,0.00912952,-0.011427214,-0.43442103,0.30801955,-0.13483758,-0.27909514
22,-0.28079522,-0.077330746,0.10243236,0.008247512,0.090583034,0.36824983,-0.45860535,-0.08692931,-0.24935637,-0.04219535
23,-0.20293508,0.045452308,0.22959247,0.045182962,0.18260817,-0.020959014,0.12014886,-0.08795764,0.32028526,-0.35431534
24,0.19842976,-0.044762857,-0.28468204,0.11720031,0.25296015,-0.025606154,-0.24604397,0.09164173,0.3496728,0.29534912
25,0.12138687,0.3002593,-0.09193497,-0.23088723,-0.027686505,-0.4550459,-0.057902284,-0.2966191,-0.045416225,0.13282524
26,0.10999838,0.00085269695,-0.314943,0.15742934,-0.028304508,0.15167569,-0.03212817,-0.16239594,-0.04570779,-0.0832615
27,-0.2114662,0.33247182,0.19426678,-0.0741777,0.08454787,0.16550356,-0.36632088,-0.14013964,-0.11740395,0.14995623
28,-0.12673311,-0.06727559,-0.43740484,0.32447037,0.30012733,0.18376325,0.28884783,0.26835427,0.27857235,0.1981821
29,-0.23629405,0.16160981,-0.117945775,0.321599,-0.13488795,-0.2924804,0.26431933,-0.035478514,-0.15035315,-0.20985992
30,-0.07697552,-0.51794946,-0.26913658,-0.44420248,0.032943428,0.015955435,-0.05217644,0.103990585,-0.10098227,-0.029900484
31,0.128567,-0.31240267,0.117395096,-0.279472,0.41022497,0.19484705,0.27627367,-0.28913397,-0.035247345,-0.32108143
32,0.46238694,-0.34424827,-0.006631298,0.06948429,0.070268124,0.30798402,0.20356263,-0.33601534,-0.1876453,0.07630555
33,0.09848757,-0.22838803,0.09094223,-0.48308116,0.46596533,0.1223443,0.37019742,0.044956423,0.48113823,-0.45851463
34,-0.12725797,0.28465763,-0.04200176,-0.21732141,0.36471042,0.006478497,0.4231924,-0.021970332,-0.1110497,-0.38931522
35,0.19628815,0.40535972,-0.167525,-0.19274221,0.30864707,-0.3285635,0.20358448,-0.26425493,0.24241754,-0.34269908
36,0.40233374,-0.29989567,0.12925227,0.32822493,-0.0321634,-0.24614042,0.3700175,-0.40420234,0.12150238,0.08369145
37,0.45975968,-0.043008596,0.36888787,-0.48576805,0.24291858,-0.24259195,0.30614293,0.19182478,-0.18209736,-0.12103699
38,0.41160244,0.4623887,0.24632137,-0.40762478,0.35866186,-0.48536694,0.38993117,0.026510758,0.20718756,-0.3667309
39,0.17628098,0.44123948,0.32439733,-0.06559501,-0.02645016,0.15342908,0.38608176,-0.43012398,0.03632138,0.083806835
40,-0.18044731,0.09490785,0.46582618,-0.121934325,-0.22014004,0.07222527,0.06335362,0.1987746,0.17966884,-0.26735523
41,-0.30208802,-0.12083318,-0.050187815,0.079072624,-0.087745786,-0.25333312,-0.15917079,-0.034838606,-0.008173443,-0.25883815
42,-0.36597145,0.3095185,0.08036834,0.1537578,-0.47127122,0.0055241897,0.15020558,0.19579598,-0.100325845,-0.008175913
43,-0.4029107,0.10825763,0.083012335,-0.41471422,-0.065939695,0.021374475,-0.30910882,-0.09070042,-0.13179249,-0.06511796
44,-0.023955235,0.36186486,-0.015740685,0.34096512,-0.2972597,-0.28290895,-0.25515306,0.041315284,0.18648845,-0.011149382
